Classifier,Accuracy,Precision,Recall,F1 Score
Naive Bayes,0.6377365356622998,0.6620748126991042,0.6377365356622998,0.6343997355040691
SVM,0.7030567685589519,0.7144265348328321,0.7030567685589519,0.702062460629609
Random Forest,0.7070596797671034,0.7093375922054993,0.7070596797671034,0.7059412929279308
